cad,singing,ID,date,region
0.211,1,ML614804965,2020-03-10,Antioquia
0.125,2,ML614804965,2020-03-10,Antioquia
0.191,2,ML614804965,2020-03-10,Antioquia
0.356,1,ML616703718,2024-03-24,Caldas
0.18,1,ML616703718,2024-03-24,Caldas
0.119,3,ML616703718,2024-03-24,Caldas
0.143,1,ML616703718,2024-03-24,Caldas
0.208,3,ML616703718,2024-03-24,Caldas
0.131,2,ML616703718,2024-03-24,Caldas
0.172,2,ML616703718,2024-03-24,Caldas
0.229,2,ML616703718,2024-03-24,Caldas
0.164,3,ML616703718,2024-03-24,Caldas
0.016,1,ML69012591,2017-09-05,Boyaca
0.155,1,ML69012591,2017-09-05,Boyaca
0.069,3,ML69012591,2017-09-05,Boyaca
0.098,2,ML69012591,2017-09-05,Boyaca
0.167,3,ML69012591,2017-09-05,Boyaca
0.132,2,ML69012591,2017-09-05,Boyaca
0.168,3,ML83789761,2018-01-13,Boyaca
0.157,1,ML83789761,2018-01-13,Boyaca
0.118,3,ML83789761,2018-01-13,Boyaca
0.121,1,ML83789761,2018-01-13,Boyaca
0.093,2,ML83789761,2018-01-13,Boyaca
0.1,2,ML83789761,2018-01-13,Boyaca
0.059,3,ML87782381,2018-02-01,Antioquia
0.053,1,ML87782381,2018-02-01,Antioquia
0.047,1,ML87782381,2018-02-01,Antioquia
0.219,3,ML87782381,2018-02-01,Antioquia
0.035,2,ML87782381,2018-02-01,Antioquia
0.024,2,ML87782381,2018-02-01,Antioquia
0.144,2,ML90485401,2016-11-22,Cundinamarca
0.17,1,ML90485401,2016-11-22,Cundinamarca
0.146,3,ML90485401,2016-11-22,Cundinamarca
0.097,1,ML90485401,2016-11-22,Cundinamarca
0.115,2,ML90485401,2016-11-22,Cundinamarca
0.124,3,ML90485401,2016-11-22,Cundinamarca
0.179,2,ML98599161,2018-05-05,Tolima
0.165,2,ML98599161,2018-05-05,Tolima
0.187,1,ML98599161,2018-05-05,Tolima
0.088,1,ML98599161,2018-05-05,Tolima
0.116,3,ML98599161,2018-05-05,Tolima
0.172,3,ML98599161,2018-05-05,Tolima
0.1562,1,XC127873,2013-03-21,Tolima
0.1562,1,XC127873,2013-03-21,Tolima
0.1562,1,XC127873,2013-03-21,Tolima
0.1151,3,XC127873,2013-03-21,Tolima
0.1233,2,XC127873,2013-03-21,Tolima
0.1316,3,XC127873,2013-03-21,Tolima
0.1891,3,XC127873,2013-03-21,Tolima
0.148,2,XC127873,2013-03-21,Tolima
0.1727,2,XC127873,2013-03-21,Tolima
0.2406,2,XC202803,2014-11-16,Antioquia
0.1688,1,XC202803,2014-11-16,Antioquia
0.2406,3,XC202803,2014-11-16,Antioquia
0.1831,1,XC202803,2014-11-16,Antioquia
0.1652,2,XC202803,2014-11-16,Antioquia
0.1436,2,XC202803,2014-11-16,Antioquia
0.2549,1,XC202803,2014-11-16,Antioquia
0.1436,3,XC202803,2014-11-16,Antioquia
0.1939,3,XC202803,2014-11-16,Antioquia
0.1273,2,XC211072,2015-01-17,Cundinamarca
0.1809,2,XC211072,2015-01-17,Cundinamarca
0.201,3,XC211072,2015-01-17,Cundinamarca
0.1742,3,XC211072,2015-01-17,Cundinamarca
0.2244,1,XC211072,2015-01-17,Cundinamarca
0.1172,1,XC211072,2015-01-17,Cundinamarca
0.1404,2,XC211079,2015-01-10,Cundinamarca
0.1705,1,XC211079,2015-01-10,Cundinamarca
0.1505,2,XC211079,2015-01-10,Cundinamarca
0.1505,1,XC211079,2015-01-10,Cundinamarca
0.1806,3,XC211079,2015-01-10,Cundinamarca
0.1806,3,XC211079,2015-01-10,Cundinamarca
0.1673,1,XC215991,2015-03-03,Boyaca
0.1762,2,XC215991,2015-03-03,Boyaca
