ID,year,temperature,precipitation,max_temp,min_temp,elevation,date,region,low_freq_hz,high_freq_hz,delta_time_s,peak_freq_hz,total_elements,note,singing
ML176085171,2019,12.52552246,4.827568682,12.4634097,11.81269662,2753.991943,2019-09-07,Boyaca,1144.8,1908.1,1.37,1722.7,3,t,1
ML176085171,2019,12.52552246,4.827568682,12.4634097,11.81269662,2753.991943,2019-09-07,Boyaca,799.6,1899,0.061,1550.4,4,a,2
ML176085171,2019,12.52552246,4.827568682,12.4634097,11.81269662,2753.991943,2019-09-07,Boyaca,1253.9,1690,0.361,1464.3,3,d,1
ML176085171,2019,12.52552246,4.827568682,12.4634097,11.81269662,2753.991943,2019-09-07,Boyaca,1144.8,1908.1,0.281,1722.7,3,d,1
ML176085171,2019,12.52552246,4.827568682,12.4634097,11.81269662,2753.991943,2019-09-07,Boyaca,899.5,1799,0.357,1550.4,4,d,2
ML176085171,2019,12.52552246,4.827568682,12.4634097,11.81269662,2753.991943,2019-09-07,Boyaca,1099.4,1899,0.286,1722.7,4,d,2
ML176085171,2019,12.52552246,4.827568682,12.4634097,11.81269662,2753.991943,2019-09-07,Boyaca,699.6,1899,1.686,1722.7,4,t,2
ML176085171,2019,12.52552246,4.827568682,12.4634097,11.81269662,2753.991943,2019-09-07,Boyaca,1327,1879.9,0.401,1636.5,3,d,3
ML176085171,2019,12.52552246,4.827568682,12.4634097,11.81269662,2753.991943,2019-09-07,Boyaca,1161.1,1658.7,0.359,1464.3,3,d,3
ML176085171,2019,12.52552246,4.827568682,12.4634097,11.81269662,2753.991943,2019-09-07,Boyaca,1216.4,1824.6,0.281,1636.5,3,d,3
ML176085171,2019,12.52552246,4.827568682,12.4634097,11.81269662,2753.991943,2019-09-07,Boyaca,981.9,1700.6,1.379,1636.5,3,t,3
ML176085171,2019,12.52552246,4.827568682,12.4634097,11.81269662,2753.991943,2019-09-07,Boyaca,899.5,1799,0.432,1722.7,4,d,2
ML176342261,2019,15.58434494,14.64236863,15.61417426,14.89023188,1518.926636,2019-09-03,Tolima,1308,1700.4,0.178,1550.4,3,d,1
ML176342261,2019,15.58434494,14.64236863,15.61417426,14.89023188,1518.926636,2019-09-03,Tolima,1281.9,1674.3,0.329,1550.4,3,d,1
